"Data de criação","Date entered ""Retorno Concluído (Retorno de Ocorrência [CS] )""","Estado","Cidade","Bairro","Logradouro","(Desfecho) Resumo da Ocorrência","[CS] Legenda do Desfecho","[CS] Arte de Desfecho","Negócio ID","Local ID"
"2025-04-09 18:34","2025-04-14 16:02","SP","São Paulo","Perdizes","Rua Tucuna","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35632378127","19468002702"
"2025-04-09 18:34","2025-04-14 16:02","SP","São Paulo","Perdizes","Rua Tucuna","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35632378127","19462867996"
"2025-04-09 18:34","2025-04-14 16:02","SP","São Paulo","Perdizes","Rua Tucuna","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35632378127","19465797202"
"2025-04-09 18:34","2025-04-14 16:02","SP","São Paulo","Perdizes","Rua Tucuna","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35632378127","19467228306"
"2025-04-09 18:34","2025-04-14 16:02","SP","São Paulo","Perdizes","Rua Coronel Melo de Oliveira","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35632378127","19466261688"
"2025-04-09 18:34","2025-04-14 16:02","SP","São Paulo","Perdizes","Rua Tucuna","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35632378127","19468777287"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Barra da Tijuca","Avenida Afonso de Taunay","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19465797532"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Lagoa","Avenida Epitácio Pessoa","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","22621366534"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Lagoa","Avenida Epitácio Pessoa","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19432382237"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Barra da Tijuca","Avenida Afonso de Taunay","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19461696615"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Lagoa","Rua Ministro Armando de Alencar","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19436761271"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Barra da Tijuca","Avenida Gastão Sengés","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19469550595"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Barra da Tijuca","Avenida Monsenhor Ascaneo","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19462712899"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Barra da Tijuca","Avenida Lúcio Costa","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19461386776"
"2025-04-09 18:36","2025-04-14 16:02","RJ","Rio de Janeiro","Barra da Tijuca","Avenida Monsenhor Ascâneo","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35618360445","19463176571"
"2025-04-09 19:39","(Nenhum valor)","RJ","Rio de Janeiro","Copacabana","Rua Djalma Ulrich","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35608193284","19465176459"
"2025-04-09 19:39","(Nenhum valor)","RJ","Rio de Janeiro","Copacabana","Rua Miguel Lemos","(Nenhum valor)","(Nenhum valor)","(Nenhum valor)","35608193284","19454831754"
